"SubID","EffLvl","IsRewarded","EfficacyProbeResp","RewRateProbeResp"
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward","1.000000000",NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.916666667"
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward","0.966666667",NA
"1041","Efficacy","NoReward",NA,NA
"1041","Efficacy","NoReward",NA,NA
"1041","Efficacy","Reward",NA,"0.750000000"
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","NoReward","0.891666667",NA
"1041","Efficacy","NoReward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,"0.925000000"
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.858333333",NA
"1041","Efficacy","NoReward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","NoReward",NA,NA
"1041","Efficacy","Reward",NA,"0.800000000"
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward","0.683333333",NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.825000000"
"1041","Efficacy","NoReward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward","0.900000000",NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,"0.950000000"
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward","0.775000000",NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,"0.716666667"
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward","0.708333333",NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,"0.825000000"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.666666667",NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.908333333"
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.641666667",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.950000000"
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.875000000",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.916666667"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward","0.600000000",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,"0.741666667"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.766666667",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.900000000"
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward","0.641666667",NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.958333333"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.741666667",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.966666667"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.650000000",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.875000000"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.600000000",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.950000000"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.600000000",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.950000000"
"1041","Efficacy","NoReward",NA,NA
"1041","NoEfficacy","Reward","0.666666667",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","NoReward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.791666667"
"1041","NoEfficacy","NoReward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.516666667",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.975000000"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.700000000",NA
"1041","NoEfficacy","NoReward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","NoReward",NA,NA
"1041","NoEfficacy","NoReward",NA,"0.425000000"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.400000000",NA
"1041","Efficacy","NoReward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","NoReward",NA,"0.708333333"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","NoReward","0.808333333",NA
"1041","NoEfficacy","NoReward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","NoReward",NA,NA
"1041","Efficacy","Reward",NA,"0.641666667"
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.600000000",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","NoReward",NA,"0.733333333"
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward","0.883333333",NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,"0.858333333"
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward","0.691666667",NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,"0.683333333"
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward","0.658333333",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,"0.666666667"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","NoReward","0.650000000",NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.808333333"
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.675000000",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.883333333"
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","NoReward",NA,NA
"1041","Efficacy","Reward","0.558333333",NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.675000000"
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.783333333",NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,"0.875000000"
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.733333333",NA
"1041","Efficacy","NoReward",NA,NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","NoReward",NA,NA
"1041","Efficacy","Reward",NA,"0.783333333"
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","Reward","0.600000000",NA
"1041","Efficacy","Reward",NA,NA
"1041","NoEfficacy","Reward",NA,NA
"1041","NoEfficacy","NoReward",NA,NA
"1041","NoEfficacy","Reward",NA,"0.591666667"
"1041","Efficacy","NoReward",NA,NA
"1041","NoEfficacy","Reward","0.591666667",NA
"1041","Efficacy","Reward",NA,NA
"1041","Efficacy","Reward",NA,NA
